::icu_normalizer::provider::DecompositionTablesV1 {
    scalars16: unsafe {
        ::zerovec::ZeroVec::from_bytes_unchecked(&[
            20u8, 48u8, 87u8, 101u8, 21u8, 48u8, 20u8, 48u8, 221u8, 82u8, 21u8, 48u8, 20u8,
            48u8, 215u8, 118u8, 21u8, 48u8, 20u8, 48u8, 83u8, 98u8, 21u8, 48u8, 20u8, 48u8,
            185u8, 112u8, 21u8, 48u8, 20u8, 48u8, 137u8, 91u8, 21u8, 48u8, 20u8, 48u8, 140u8,
            78u8, 21u8, 48u8, 20u8, 48u8, 9u8, 78u8, 21u8, 48u8, 20u8, 48u8, 44u8, 103u8, 21u8,
            48u8, 179u8, 48u8, 179u8, 48u8, 123u8, 48u8, 75u8, 48u8, 68u8, 0u8, 74u8, 0u8,
            77u8, 0u8, 82u8, 0u8, 77u8, 0u8, 68u8, 0u8, 77u8, 0u8, 67u8, 0u8, 87u8, 0u8, 67u8,
            0u8, 80u8, 0u8, 80u8, 0u8, 86u8, 0u8, 83u8, 0u8, 83u8, 0u8, 83u8, 0u8, 68u8, 0u8,
            77u8, 0u8, 86u8, 0u8, 72u8, 0u8, 86u8, 0u8, 87u8, 0u8, 90u8, 0u8, 67u8, 0u8, 68u8,
            0u8, 20u8, 48u8, 83u8, 0u8, 21u8, 48u8, 40u8, 0u8, 90u8, 0u8, 41u8, 0u8, 40u8, 0u8,
            89u8, 0u8, 41u8, 0u8, 40u8, 0u8, 88u8, 0u8, 41u8, 0u8, 40u8, 0u8, 87u8, 0u8, 41u8,
            0u8, 40u8, 0u8, 86u8, 0u8, 41u8, 0u8, 40u8, 0u8, 85u8, 0u8, 41u8, 0u8, 40u8, 0u8,
            84u8, 0u8, 41u8, 0u8, 40u8, 0u8, 83u8, 0u8, 41u8, 0u8, 40u8, 0u8, 82u8, 0u8, 41u8,
            0u8, 40u8, 0u8, 81u8, 0u8, 41u8, 0u8, 40u8, 0u8, 80u8, 0u8, 41u8, 0u8, 40u8, 0u8,
            79u8, 0u8, 41u8, 0u8, 40u8, 0u8, 78u8, 0u8, 41u8, 0u8, 40u8, 0u8, 77u8, 0u8, 41u8,
            0u8, 40u8, 0u8, 76u8, 0u8, 41u8, 0u8, 40u8, 0u8, 75u8, 0u8, 41u8, 0u8, 40u8, 0u8,
            74u8, 0u8, 41u8, 0u8, 40u8, 0u8, 73u8, 0u8, 41u8, 0u8, 40u8, 0u8, 72u8, 0u8, 41u8,
            0u8, 40u8, 0u8, 71u8, 0u8, 41u8, 0u8, 40u8, 0u8, 70u8, 0u8, 41u8, 0u8, 40u8, 0u8,
            69u8, 0u8, 41u8, 0u8, 40u8, 0u8, 68u8, 0u8, 41u8, 0u8, 40u8, 0u8, 67u8, 0u8, 41u8,
            0u8, 40u8, 0u8, 66u8, 0u8, 41u8, 0u8, 40u8, 0u8, 65u8, 0u8, 41u8, 0u8, 57u8, 0u8,
            44u8, 0u8, 56u8, 0u8, 44u8, 0u8, 55u8, 0u8, 44u8, 0u8, 54u8, 0u8, 44u8, 0u8, 53u8,
            0u8, 44u8, 0u8, 52u8, 0u8, 44u8, 0u8, 51u8, 0u8, 44u8, 0u8, 50u8, 0u8, 44u8, 0u8,
            49u8, 0u8, 44u8, 0u8, 48u8, 0u8, 44u8, 0u8, 48u8, 0u8, 46u8, 0u8, 68u8, 6u8, 39u8,
            6u8, 68u8, 6u8, 39u8, 6u8, 85u8, 6u8, 68u8, 6u8, 39u8, 6u8, 84u8, 6u8, 68u8, 6u8,
            39u8, 6u8, 83u8, 6u8, 46u8, 0u8, 46u8, 0u8, 46u8, 0u8, 46u8, 0u8, 46u8, 0u8, 49u8,
            6u8, 204u8, 6u8, 39u8, 6u8, 68u8, 6u8, 44u8, 6u8, 68u8, 6u8, 32u8, 0u8, 44u8, 6u8,
