# Symbol name ; Symbol definition in UnicodeSet notation ; Optional non-dictionary equivalent symbol
XXmExtPictmHiraganamHanmComplexContext ; [\p{Word_Break=Other}-\p{Extended_Pictographic=True}-[:Hiragana:]-[:Han:]-[:LineBreak = Complex_Context:]] ; 
LF ; [\p{Word_Break=LF}] ; 
Newline ; [\p{Word_Break=Newline}] ; 
CR ; [\p{Word_Break=CR}] ; 
WSegSpace ; [\p{Word_Break=WSegSpace}] ; 
Double_Quote ; [\p{Word_Break=Double_Quote}] ; 
Single_Quote ; [\p{Word_Break=Single_Quote}] ; 
MidNum ; [\p{Word_Break=MidNum}] ; 
MidNumLet ; [\p{Word_Break=MidNumLet}] ; 
Numeric ; [\p{Word_Break=Numeric}] ; 
MidLetter ; [\p{Word_Break=MidLetter}] ; 
ALettermExtPictmHangulSyllablemHan ; [\p{Word_Break=ALetter}-\p{Extended_Pictographic=True}-[\uac00-\ud7a3]-[:Han:]] ; 
ExtendNumLet ; [\p{Word_Break=ExtendNumLet}] ; 
ExtPictmALetter ; [\p{Extended_Pictographic=True}-\p{Word_Break=ALetter}] ; 
ExtendmHanmComplexContext|Format ; [[\p{Word_Break=Extend}-[:Han:]-[:LineBreak = Complex_Context:]] [[\p{Word_Break=Format}]]] ; 
Hebrew_Letter ; [\p{Word_Break=Hebrew_Letter}] ; 
ZWJ ; [\p{Word_Break=ZWJ}] ; 
ALetter_ExtPict ; [\p{Word_Break=ALetter}&\p{Extended_Pictographic=True}] ; 
RI ; [\p{Word_Break=Regional_Indicator}] ; 
XX_Hiragana|XX_Han|XX_ComplexContext ; [[\p{Word_Break=Other}&[:Hiragana:]] [\p{Word_Break=Other}&[:Han:]] [\p{Word_Break=Other}&[:LineBreak = Complex_Context:]]] ; XXmExtPictmHiraganamHanmComplexContext
Extend_Han|Extend_ComplexContext ; [[\p{Word_Break=Extend}&[:Han:]] [\p{Word_Break=Extend}&[:LineBreak = Complex_Context:]]] ; ExtendmHanmComplexContext|Format
ALetter_HangulSyllable|ALetter_Han ; [[\p{Word_Break=ALetter}&[\uac00-\ud7a3]] [\p{Word_Break=ALetter}&[:Han:]]] ; ALettermExtPictmHangulSyllablemHan
Katakana ; [\p{Word_Break=Katakana}] ; Katakana
