# Class name ; Class definition in UnicodeSet notation
XX ; [\p{Sentence_Break=Other}]
Sp ; [\p{Sentence_Break=Sp}]
LF ; [\p{Sentence_Break=LF}]
CR ; [\p{Sentence_Break=CR}]
STerm ; [\p{Sentence_Break=STerm}]
Close ; [\p{Sentence_Break=Close}]
SContinue ; [\p{Sentence_Break=SContinue}]
ATerm ; [\p{Sentence_Break=ATerm}]
Numeric ; [\p{Sentence_Break=Numeric}]
Upper ; [\p{Sentence_Break=Upper}]
Lower ; [\p{Sentence_Break=Lower}]
Sep ; [\p{Sentence_Break=Sep}]
Extend|Format ; [[\p{Sentence_Break=Extend}] [\p{Sentence_Break=Format}]]
OLetter ; [\p{Sentence_Break=OLetter}]
