# State name ; Accepting (Yes, No, or lookahead name); lookahead name or empty; Break type.
START ; No ;  ; 
SP QU_Pf ; No ;  ; 
PRmEastAsian OPmEastAsian ; No ;  ; 
PRmEastAsian OPmEastAsian IS ; No ;  ; 
AK AK ; No ;  ; 
SP IS ZWJ ; No ;  ; 
BK ; Yes ;  ; Mandatory
CR ; Yes ;  ; Mandatory
CM ; Yes ;  ; 
HL ; Yes ;  ; 
BAmEastAsian ; Yes ;  ; 
SP ; Yes ;  ; 
EXmEastAsian ; Yes ;  ; 
CLmEastAsian ; Yes ;  ; 
QUmPimPf ; Yes ;  ; 
WJ ; Yes ;  ; 
OPmEastAsian ; Yes ;  ; 
GLmEastAsian ; Yes ;  ; 
ZWJ ; Yes ;  ; 
BAmEastAsian ZWJ ; Yes ;  ; 
EXmEastAsian ZWJ ; Yes ;  ; 
PRmEastAsian ZWJ ; Yes ;  ; 
POmEastAsian ZWJ ; Yes ;  ; 
IS ZWJ ; Yes ;  ; 
CP ZWJ ; Yes ;  ; 
HY ZWJ ; Yes ;  ; 
SY ZWJ ; Yes ;  ; 
NU ZWJ ; Yes ;  ; 
CLmEastAsian ZWJ ; Yes ;  ; 
BB ZWJ ; Yes ;  ; 
HH ZWJ ; Yes ;  ; 
HL ZWJ ; Yes ;  ; 
JV ZWJ ; Yes ;  ; 
JT ZWJ ; Yes ;  ; 
AK ZWJ ; Yes ;  ; 
IDmEastAsianmExtPictUnassigned ZWJ ; Yes ;  ; 
B2 ZWJ ; Yes ;  ; 
AL_DottedCircle ZWJ ; Yes ;  ; 
EBmEastAsian ZWJ ; Yes ;  ; 
CB ZWJ ; Yes ;  ; 
AP ZWJ ; Yes ;  ; 
ID_ExtPictUnassigned ZWJ ; Yes ;  ; 
XX_ExtPictUnassigned ZWJ ; Yes ;  ; 
NON_EAST_ASIAN_LOOSE_IN ZWJ ; Yes ;  ; 
CM HY ZWJ ; Yes ;  ; 
NU CP ZWJ ; Yes ;  ; 
NU IS ZWJ ; Yes ;  ; 
NU SY ZWJ ; Yes ;  ; 
NU CLmEastAsian ZWJ ; Yes ;  ; 
HL HY ZWJ ; Yes ;  ; 
AK VI ZWJ ; Yes ;  ; 
PRmEastAsian ; Yes ;  ; 
POmEastAsian ; Yes ;  ; 
CP ; Yes ;  ; 
IS ; Yes ;  ; 
HY ; Yes ;  ; 
SY ; Yes ;  ; 
NU ; Yes ;  ; 
BB ; Yes ;  ; 
HH ; Yes ;  ; 
JV ; Yes ;  ; 
JT ; Yes ;  ; 
AK ; Yes ;  ; 
IDmEastAsianmExtPictUnassigned ; Yes ;  ; 
B2 ; Yes ;  ; 
OP_EastAsian ; Yes ;  ; 
GL_EastAsian ; Yes ;  ; 
AL_DottedCircle ; Yes ;  ; 
EBmEastAsian ; Yes ;  ; 
CB ; Yes ;  ; 
AP ; Yes ;  ; 
ID_ExtPictUnassigned ; Yes ;  ; 
RI ; Yes ;  ; 
XX_ExtPictUnassigned ; Yes ;  ; 
NON_EAST_ASIAN_LOOSE_IN ; Yes ;  ; 
CM HY ; Yes ;  ; 
OPmEastAsian SP ; Yes ;  ; 
CP SP ; Yes ;  ; 
NU CP ; Yes ;  ; 
NU IS ; Yes ;  ; 
