# From state ; symbol ; to state
START ; Sep|eot ; Sep
START ; XX ; START
START ; Sp ; START
START ; LF ; Sep
START ; CR ; CR
START ; STerm ; STerm
START ; Close ; START
START ; SContinue ; START
START ; ATerm ; ATerm
START ; Numeric ; START
START ; Upper ; Upper
START ; Lower ; Upper
START ; Extend|Format ; START
START ; OLetter ; START
ATerm XX ; XX ; ATerm XX
ATerm XX ; Sp ; ATerm XX
ATerm XX ; Close ; ATerm XX
ATerm XX ; SContinue ; ATerm XX
ATerm XX ; Numeric ; ATerm XX
ATerm XX ; Lower ; Upper
ATerm XX ; Extend|Format ; ATerm XX
Upper ; Sep|eot ; Sep
Upper ; XX ; START
Upper ; Sp ; START
Upper ; LF ; Sep
Upper ; CR ; CR
Upper ; STerm ; STerm
Upper ; Close ; START
Upper ; SContinue ; START
Upper ; ATerm ; Upper ATerm
Upper ; Numeric ; START
Upper ; Upper ; Upper
Upper ; Lower ; Upper
Upper ; Extend|Format ; Upper
Upper ; OLetter ; START
STerm ; Sep|eot ; STerm Sep
STerm ; Sp ; STerm Sp
STerm ; LF ; STerm Sep
STerm ; CR ; STerm CR
STerm ; STerm ; STerm
STerm ; Close ; STerm
STerm ; SContinue ; START
STerm ; ATerm ; ATerm
STerm ; Extend|Format ; STerm
ATerm ; Sep|eot ; STerm Sep
ATerm ; XX ; ATerm XX
ATerm ; Sp ; ATerm Sp
ATerm ; LF ; STerm Sep
ATerm ; CR ; STerm CR
ATerm ; STerm ; STerm
ATerm ; Close ; ATerm Close
ATerm ; SContinue ; START
ATerm ; ATerm ; ATerm
ATerm ; Numeric ; START
ATerm ; Lower ; Upper
ATerm ; Extend|Format ; ATerm
STerm Sp ; Sep|eot ; STerm Sep
STerm Sp ; Sp ; STerm Sp
STerm Sp ; LF ; STerm Sep
STerm Sp ; CR ; STerm CR
STerm Sp ; STerm ; STerm
STerm Sp ; SContinue ; START
STerm Sp ; ATerm ; ATerm
STerm Sp ; Extend|Format ; STerm Sp
STerm CR ; LF ; STerm Sep
ATerm Sp ; Sep|eot ; STerm Sep
ATerm Sp ; XX ; ATerm XX
ATerm Sp ; Sp ; ATerm Sp
ATerm Sp ; LF ; STerm Sep
ATerm Sp ; CR ; STerm CR
ATerm Sp ; STerm ; STerm
ATerm Sp ; Close ; ATerm XX
ATerm Sp ; SContinue ; START
ATerm Sp ; ATerm ; ATerm
ATerm Sp ; Numeric ; ATerm XX
ATerm Sp ; Lower ; Upper
ATerm Sp ; Extend|Format ; ATerm Sp
ATerm Close ; Sep|eot ; STerm Sep
ATerm Close ; XX ; ATerm XX
ATerm Close ; Sp ; ATerm Sp
ATerm Close ; LF ; STerm Sep
ATerm Close ; CR ; STerm CR
ATerm Close ; STerm ; STerm
ATerm Close ; Close ; ATerm Close
ATerm Close ; SContinue ; START
ATerm Close ; ATerm ; ATerm
ATerm Close ; Numeric ; ATerm XX
ATerm Close ; Lower ; Upper
ATerm Close ; Extend|Format ; ATerm Close
Upper ATerm ; Sep|eot ; STerm Sep
Upper ATerm ; XX ; ATerm XX
Upper ATerm ; Sp ; ATerm Sp
Upper ATerm ; LF ; STerm Sep
Upper ATerm ; CR ; STerm CR
Upper ATerm ; STerm ; STerm
Upper ATerm ; Close ; ATerm Close
Upper ATerm ; SContinue ; START
Upper ATerm ; ATerm ; ATerm
Upper ATerm ; Numeric ; START
Upper ATerm ; Upper ; Upper
Upper ATerm ; Lower ; Upper
Upper ATerm ; Extend|Format ; Upper ATerm
CR ; LF ; Sep
