# State name ; Accepting (Yes, No, or lookahead name); lookahead name or empty; Break type.
START ; No ;  ; 
Numeric Single_Quote ; No ;  ; 
ALettermExtPictmHangulSyllablemHan Single_Quote ; No ;  ; 
Hebrew_Letter Double_Quote ; No ;  ; 
XXmExtPictmHiraganamHanmComplexContext ; Yes ;  ; 
LF ; Yes ;  ; 
CR ; Yes ;  ; 
WSegSpace ; Yes ;  ; 
ExtendNumLet ; Yes ;  ; 
ZWJ ; Yes ;  ; 
RI ; Yes ;  ; 
ExtendNumLet ZWJ ; Yes ;  ; 
RI ZWJ ; Yes ;  ; 
Hebrew_Letter Single_Quote ExtendmHanmComplexContext ; Yes ;  ; 
Hebrew_Letter Single_Quote ZWJ ; Yes ;  ; 
Numeric ; Yes ;  ; Number
Numeric ExtendNumLet ; Yes ;  ; Number
Numeric ZWJ ; Yes ;  ; Number
ALettermExtPictmHangulSyllablemHan ; Yes ;  ; Letter
Hebrew_Letter ; Yes ;  ; Letter
ALettermExtPictmHangulSyllablemHan ExtendNumLet ; Yes ;  ; Letter
ALettermExtPictmHangulSyllablemHan ZWJ ; Yes ;  ; Letter
Hebrew_Letter Single_Quote ; Yes ;  ; Letter
Hebrew_Letter ZWJ ; Yes ;  ; Letter
Katakana ; Yes ;  ; Letter
Katakana ExtendNumLet ; Yes ;  ; Letter
Katakana ZWJ ; Yes ;  ; Letter
