# From state ; class name or eot ; to state
START ; eot ; eot
START ; CM ; CM
START ; BAmEastAsian ; BAmEastAsian
START ; LF ; eot
START ; BK|NL ; eot
START ; CR ; CR
START ; SP ; SP
START ; EXmEastAsian ; EXmEastAsian
START ; QUmPimPf ; QUmPimPf
START ; AImEastAsian|ALmEastAsianmDottedCircle|SG|XXmExtPictUnassigned ; CM
START ; PRmEastAsian ; PRmEastAsian
START ; POmEastAsian ; POmEastAsian
START ; OPmEastAsian ; OPmEastAsian
START ; CP ; CP
START ; IS ; IS
START ; HY ; HY
START ; SY ; SY
START ; NU ; NU
START ; CLmEastAsian ; CLmEastAsian
START ; GLmEastAsian ; GLmEastAsian
START ; QU_Pi ; OPmEastAsian
START ; BB ; BB
START ; QU_Pf ; QUmPimPf
START ; HH ; HH
START ; HL ; HL
START ; JL ; JL
START ; JV ; JV
START ; JT ; JT
START ; NSmEastAsian ; EXmEastAsian
START ; AK ; AK
START ; VI ; EXmEastAsian
START ; AS ; AK
START ; IDmEastAsianmExtPictUnassigned ; IDmEastAsianmExtPictUnassigned
START ; VF ; EXmEastAsian
START ; ZW ; ZW
START ; ZWJ ; ZWJ
START ; B2 ; B2
START ; INmEastAsian ; EXmEastAsian
START ; WJ ; WJ
START ; PR_EastAsian ; PR_EastAsian
START ; ID_EastAsian ; ID_EastAsian
START ; OP_EastAsian ; OP_EastAsian
START ; CL_EastAsian ; CL_EastAsian
START ; AI_EastAsian|AL_EastAsian ; AL_EastAsian
START ; AL_DottedCircle ; AL_DottedCircle
START ; ID_ExtPictUnassigned|EBmEastAsian ; EBmEastAsian
START ; EB_EastAsian ; EB_EastAsian
START ; BA_EastAsian ; BA_EastAsian
START ; NS_EastAsian|CJ ; CJ
START ; H2 ; H2
START ; H3 ; H3
START ; EX_EastAsian ; CJ
START ; IN_EastAsian ; CJ
START ; PO_EastAsian ; PO_EastAsian
START ; CB ; CB
START ; AP ; AP
START ; GL_EastAsian ; GL_EastAsian
START ; RI ; RI
START ; EM ; ID_EastAsian
START ; XX_ExtPictUnassigned ; XX_ExtPictUnassigned
START ; SAmMnmMc ; CM
START ; SA_Mn|SA_Mc ; CM
SP QU_Pf ; eot ; eot
SP QU_Pf ; CM ; SP QU_Pf
SP QU_Pf ; LF ; eot
SP QU_Pf ; BK|NL ; eot
SP QU_Pf ; CR ; CR
SP QU_Pf ; SP ; SP
SP QU_Pf ; EXmEastAsian ; EXmEastAsian
SP QU_Pf ; QUmPimPf ; QUmPimPf
SP QU_Pf ; CP ; CP
SP QU_Pf ; IS ; IS
SP QU_Pf ; SY ; SY
SP QU_Pf ; CLmEastAsian ; CLmEastAsian
SP QU_Pf ; GLmEastAsian ; GLmEastAsian
SP QU_Pf ; QU_Pi ; OPmEastAsian
SP QU_Pf ; QU_Pf ; QUmPimPf
SP QU_Pf ; ZW ; ZW
SP QU_Pf ; ZWJ ; SP QU_Pf
SP QU_Pf ; WJ ; WJ
SP QU_Pf ; CL_EastAsian ; CL_EastAsian
SP QU_Pf ; EX_EastAsian ; CJ
SP QU_Pf ; GL_EastAsian ; GL_EastAsian
SP QU_Pf ; SA_Mn|SA_Mc ; SP QU_Pf
PRmEastAsian OPmEastAsian ; CM ; PRmEastAsian OPmEastAsian
PRmEastAsian OPmEastAsian ; IS ; PRmEastAsian OPmEastAsian IS
PRmEastAsian OPmEastAsian ; NU ; NU
PRmEastAsian OPmEastAsian ; ZWJ ; PRmEastAsian OPmEastAsian
PRmEastAsian OPmEastAsian ; SA_Mn|SA_Mc ; PRmEastAsian OPmEastAsian
PRmEastAsian OPmEastAsian IS ; CM ; PRmEastAsian OPmEastAsian IS
PRmEastAsian OPmEastAsian IS ; NU ; NU
PRmEastAsian OPmEastAsian IS ; ZWJ ; PRmEastAsian OPmEastAsian IS
PRmEastAsian OPmEastAsian IS ; SA_Mn|SA_Mc ; PRmEastAsian OPmEastAsian IS
AK AK ; CM ; AK AK
AK AK ; VF ; EXmEastAsian
AK AK ; ZWJ ; AK AK
AK AK ; SA_Mn|SA_Mc ; AK AK
SP IS ZWJ ; eot ; eot
SP IS ZWJ ; CM ; SP IS CM
SP IS ZWJ ; BAmEastAsian ; BAmEastAsian
SP IS ZWJ ; LF ; eot
SP IS ZWJ ; BK|NL ; eot
SP IS ZWJ ; CR ; CR
SP IS ZWJ ; SP ; SP
SP IS ZWJ ; EXmEastAsian ; EXmEastAsian
SP IS ZWJ ; QUmPimPf ; QUmPimPf
SP IS ZWJ ; AImEastAsian|ALmEastAsianmDottedCircle|SG|XXmExtPictUnassigned ; CM
SP IS ZWJ ; PRmEastAsian ; PRmEastAsian
SP IS ZWJ ; POmEastAsian ; POmEastAsian
SP IS ZWJ ; OPmEastAsian ; OPmEastAsian
SP IS ZWJ ; CP ; CP
SP IS ZWJ ; IS ; IS
SP IS ZWJ ; HY ; CM HY
SP IS ZWJ ; SY ; SY
SP IS ZWJ ; CLmEastAsian ; CLmEastAsian
SP IS ZWJ ; GLmEastAsian ; GLmEastAsian
SP IS ZWJ ; QU_Pi ; QUmPimPf
SP IS ZWJ ; BB ; BB
SP IS ZWJ ; QU_Pf ; QUmPimPf
SP IS ZWJ ; HH ; BAmEastAsian
SP IS ZWJ ; HL ; HL
SP IS ZWJ ; JL ; JL
SP IS ZWJ ; JV ; JV
SP IS ZWJ ; JT ; JT
