# Class name ; Class definition in UnicodeSet notation
XXmExtPict ; [\p{Word_Break=Other}-\p{Extended_Pictographic=True}]
LF ; [\p{Word_Break=LF}]
Newline ; [\p{Word_Break=Newline}]
CR ; [\p{Word_Break=CR}]
WSegSpace ; [\p{Word_Break=WSegSpace}]
Double_Quote ; [\p{Word_Break=Double_Quote}]
Single_Quote ; [\p{Word_Break=Single_Quote}]
MidNum ; [\p{Word_Break=MidNum}]
MidNumLet ; [\p{Word_Break=MidNumLet}]
Numeric ; [\p{Word_Break=Numeric}]
MidLetter ; [\p{Word_Break=MidLetter}]
ALettermExtPict ; [\p{Word_Break=ALetter}-\p{Extended_Pictographic=True}]
ExtendNumLet ; [\p{Word_Break=ExtendNumLet}]
ExtPictmALetter ; [\p{Extended_Pictographic=True}-\p{Word_Break=ALetter}]
Extend|Format ; [[\p{Word_Break=Extend}] [[\p{Word_Break=Format}]]]
Hebrew_Letter ; [\p{Word_Break=Hebrew_Letter}]
ZWJ ; [\p{Word_Break=ZWJ}]
ALetter_ExtPict ; [\p{Word_Break=ALetter}&\p{Extended_Pictographic=True}]
Katakana ; [\p{Word_Break=Katakana}]
RI ; [\p{Word_Break=Regional_Indicator}]
