# From state ; symbol ; to state
START ; XXmExtPictmHiraganamHanmComplexContext ; XXmExtPictmHiraganamHanmComplexContext
START ; LF ; LF
START ; Newline ; LF
START ; CR ; CR
START ; WSegSpace ; WSegSpace
START ; Double_Quote ; XXmExtPictmHiraganamHanmComplexContext
START ; Single_Quote ; XXmExtPictmHiraganamHanmComplexContext
START ; MidNum ; XXmExtPictmHiraganamHanmComplexContext
START ; MidNumLet ; XXmExtPictmHiraganamHanmComplexContext
START ; Numeric ; Numeric
START ; MidLetter ; XXmExtPictmHiraganamHanmComplexContext
START ; ALettermExtPictmHangulSyllablemHan ; ALettermExtPictmHangulSyllablemHan
START ; ExtendNumLet ; ExtendNumLet
START ; ExtPictmALetter ; XXmExtPictmHiraganamHanmComplexContext
START ; ExtendmHanmComplexContext|Format ; XXmExtPictmHiraganamHanmComplexContext
START ; Hebrew_Letter ; Hebrew_Letter
START ; ZWJ ; ZWJ
START ; ALetter_ExtPict ; ALettermExtPictmHangulSyllablemHan
START ; RI ; RI
START ; XX_Hiragana|XX_Han|XX_ComplexContext ; XXmExtPictmHiraganamHanmComplexContext
START ; Extend_Han|Extend_ComplexContext ; XXmExtPictmHiraganamHanmComplexContext
START ; ALetter_HangulSyllable|ALetter_Han ; ALettermExtPictmHangulSyllablemHan
START ; Katakana ; Katakana
Numeric Single_Quote ; Numeric ; Numeric
Numeric Single_Quote ; ExtendmHanmComplexContext|Format ; Numeric Single_Quote
Numeric Single_Quote ; ZWJ ; Numeric Single_Quote
Numeric Single_Quote ; Extend_Han|Extend_ComplexContext ; Numeric Single_Quote
ALettermExtPictmHangulSyllablemHan Single_Quote ; ALettermExtPictmHangulSyllablemHan ; ALettermExtPictmHangulSyllablemHan
ALettermExtPictmHangulSyllablemHan Single_Quote ; ExtendmHanmComplexContext|Format ; ALettermExtPictmHangulSyllablemHan Single_Quote
ALettermExtPictmHangulSyllablemHan Single_Quote ; Hebrew_Letter ; Hebrew_Letter
ALettermExtPictmHangulSyllablemHan Single_Quote ; ZWJ ; ALettermExtPictmHangulSyllablemHan Single_Quote
ALettermExtPictmHangulSyllablemHan Single_Quote ; ALetter_ExtPict ; ALettermExtPictmHangulSyllablemHan
ALettermExtPictmHangulSyllablemHan Single_Quote ; Extend_Han|Extend_ComplexContext ; ALettermExtPictmHangulSyllablemHan Single_Quote
ALettermExtPictmHangulSyllablemHan Single_Quote ; ALetter_HangulSyllable|ALetter_Han ; ALettermExtPictmHangulSyllablemHan
Hebrew_Letter Double_Quote ; ExtendmHanmComplexContext|Format ; Hebrew_Letter Double_Quote
Hebrew_Letter Double_Quote ; Hebrew_Letter ; Hebrew_Letter
Hebrew_Letter Double_Quote ; ZWJ ; Hebrew_Letter Double_Quote
Hebrew_Letter Double_Quote ; Extend_Han|Extend_ComplexContext ; Hebrew_Letter Double_Quote
XXmExtPictmHiraganamHanmComplexContext ; ExtendmHanmComplexContext|Format ; XXmExtPictmHiraganamHanmComplexContext
XXmExtPictmHiraganamHanmComplexContext ; ZWJ ; ZWJ
XXmExtPictmHiraganamHanmComplexContext ; Extend_Han|Extend_ComplexContext ; XXmExtPictmHiraganamHanmComplexContext
CR ; LF ; LF
WSegSpace ; WSegSpace ; WSegSpace
WSegSpace ; ExtendmHanmComplexContext|Format ; XXmExtPictmHiraganamHanmComplexContext
WSegSpace ; ZWJ ; ZWJ
WSegSpace ; Extend_Han|Extend_ComplexContext ; XXmExtPictmHiraganamHanmComplexContext
ExtendNumLet ; Numeric ; Numeric
ExtendNumLet ; ALettermExtPictmHangulSyllablemHan ; ALettermExtPictmHangulSyllablemHan
ExtendNumLet ; ExtendNumLet ; ALettermExtPictmHangulSyllablemHan ExtendNumLet
ExtendNumLet ; ExtendmHanmComplexContext|Format ; ExtendNumLet
ExtendNumLet ; Hebrew_Letter ; Hebrew_Letter
ExtendNumLet ; ZWJ ; ExtendNumLet ZWJ
ExtendNumLet ; ALetter_ExtPict ; ALettermExtPictmHangulSyllablemHan
ExtendNumLet ; Extend_Han|Extend_ComplexContext ; ExtendNumLet
ExtendNumLet ; ALetter_HangulSyllable|ALetter_Han ; ALettermExtPictmHangulSyllablemHan
ExtendNumLet ; Katakana ; Katakana
ZWJ ; ExtPictmALetter ; XXmExtPictmHiraganamHanmComplexContext
ZWJ ; ExtendmHanmComplexContext|Format ; XXmExtPictmHiraganamHanmComplexContext
ZWJ ; ZWJ ; ZWJ
ZWJ ; ALetter_ExtPict ; ALettermExtPictmHangulSyllablemHan
ZWJ ; Extend_Han|Extend_ComplexContext ; XXmExtPictmHiraganamHanmComplexContext
RI ; ExtendmHanmComplexContext|Format ; RI
RI ; ZWJ ; RI ZWJ
RI ; RI ; XXmExtPictmHiraganamHanmComplexContext
RI ; Extend_Han|Extend_ComplexContext ; RI
