# Class name ; Class definition in UnicodeSet notation
Control ; [\p{Grapheme_Cluster_Break=Control}]
LF ; [\p{Grapheme_Cluster_Break=LF}]
CR ; [\p{Grapheme_Cluster_Break=CR}]
XXmLinkingConsonantmExtPict ; [\p{Grapheme_Cluster_Break=Other}-\p{Indic_Conjunct_Break=Consonant}-\p{Extended_Pictographic=True}]
ExtPict ; [\p{Extended_Pictographic=True}]
Extend_ConjunctExtendermConjunctLinker ; [\p{Grapheme_Cluster_Break=Extend}&[\p{Indic_Conjunct_Break=Linker}\p{Indic_Conjunct_Break=Extend}]-\p{Indic_Conjunct_Break=Linker}]
Prepend ; [\p{Grapheme_Cluster_Break=Prepend}]
SpacingMark ; [\p{Grapheme_Cluster_Break=SpacingMark}]
LinkingConsonant ; [\p{Indic_Conjunct_Break=Consonant}]
Extend_ConjunctLinker ; [\p{Grapheme_Cluster_Break=Extend}&\p{Indic_Conjunct_Break=Linker}]
L ; [\p{Grapheme_Cluster_Break=L}]
V ; [\p{Grapheme_Cluster_Break=V}]
T ; [\p{Grapheme_Cluster_Break=T}]
ExtendmConjunctLinkermConjunctExtender ; [\p{Grapheme_Cluster_Break=Extend}-\p{Indic_Conjunct_Break=Linker}-[\p{Indic_Conjunct_Break=Linker}\p{Indic_Conjunct_Break=Extend}]]
ZWJ ; [\p{Grapheme_Cluster_Break=ZWJ}]
LV ; [\p{Grapheme_Cluster_Break=LV}]
LVT ; [\p{Grapheme_Cluster_Break=LVT}]
RI ; [\p{Grapheme_Cluster_Break=Regional_Indicator}]
